,precision,recall,f1-score,support
AFIB,0.8553459119496856,0.918918918918919,0.8859934853420196,444.0
GSVT,0.8778280542986425,0.8434782608695652,0.860310421286031,460.0
SB,0.9604086845466155,0.9665809768637532,0.9634849455477258,778.0
SR,0.9316037735849056,0.8896396396396397,0.9101382488479264,444.0
accuracy,0.9139228598306679,0.9139228598306679,0.9139228598306679,0.9139228598306679
macro avg,0.9062966060949622,0.9046544490729693,0.9049817752559257,2126.0
weighted avg,0.9145835004383824,0.9139228598306679,0.9138365810950334,2126.0
