,precision,recall,f1-score,support
AFIB,0.4650602409638554,0.4346846846846847,0.449359720605355,444.0
GSVT,0.5493975903614458,0.4956521739130435,0.5211428571428572,460.0
SB,0.7974683544303798,0.8097686375321337,0.8035714285714287,778.0
SR,0.5118577075098815,0.5833333333333334,0.5452631578947369,444.0
accuracy,0.6161806208842897,0.6161806208842897,0.6161806208842897,0.6161806208842897
macro avg,0.5809459733163906,0.5808597073657988,0.5798342910535945,2126.0
weighted avg,0.6147247603177045,0.6161806208842897,0.6145422595335497,2126.0
