,precision,recall,f1-score,support
AFIB,0.9029535864978903,0.963963963963964,0.9324618736383442,444.0
GSVT,0.9435665914221218,0.908695652173913,0.9258028792912513,460.0
SB,0.9772151898734177,0.9922879177377892,0.9846938775510203,778.0
SR,0.9832935560859188,0.9279279279279279,0.954808806488992,444.0
accuracy,0.9548447789275635,0.9548447789275635,0.9548447789275635,0.9548447789275635
macro avg,0.9517572309698371,0.9482188654508985,0.9494418592424019,2126.0
weighted avg,0.9556950992864094,0.9548447789275635,0.9548021369638791,2126.0
