,precision,recall,f1-score,support
AFIB,0.9044585987261147,0.9594594594594594,0.9311475409836065,444.0
GSVT,0.9436936936936937,0.9108695652173913,0.9269911504424778,460.0
SB,0.9785082174462706,0.9948586118251928,0.9866156787762905,778.0
SR,0.9833333333333333,0.9301801801801802,0.9560185185185186,444.0
accuracy,0.955785512699906,0.955785512699906,0.955785512699906,0.955785512699906
macro avg,0.9524984607998531,0.948841954170556,0.9501932221802233,2126.0
weighted avg,0.9565183960991028,0.955785512699906,0.9557406668440439,2126.0
