,precision,recall,f1-score,support
AFIB,0.9012605042016807,0.9662162162162162,0.932608695652174,444.0
GSVT,0.9434389140271493,0.9065217391304348,0.9246119733924613,460.0
SB,0.9771863117870723,0.9910025706940874,0.9840459476707083,778.0
SR,0.9832935560859188,0.9279279279279279,0.954808806488992,444.0
accuracy,0.9543744120413923,0.9543744120413923,0.9543744120413923,0.9543744120413923
macro avg,0.9512948215254553,0.9479171134921666,0.9490188558010838,2126.0
weighted avg,0.955303317869485,0.9543744120413923,0.9543380178734813,2126.0
