,precision,recall,f1-score,support
AFIB,0.9081196581196581,0.9572072072072072,0.9320175438596491,444.0
GSVT,0.9397321428571429,0.9152173913043479,0.9273127753303965,460.0
SB,0.9796954314720813,0.9922879177377892,0.9859514687100894,778.0
SR,0.981042654028436,0.9324324324324325,0.956120092378753,444.0
accuracy,0.955785512699906,0.955785512699906,0.955785512699906,0.955785512699906
macro avg,0.9521474716193297,0.9492862371704442,0.950350470069722,2126.0
weighted avg,0.956381889931006,0.955785512699906,0.9557700986821648,2126.0
