,precision,recall,f1-score,support
AFIB,0.9063829787234042,0.9594594594594594,0.9321663019693655,444.0
GSVT,0.9417040358744395,0.9130434782608695,0.9271523178807947,460.0
SB,0.9796954314720813,0.9922879177377892,0.9859514687100894,778.0
SR,0.981042654028436,0.9324324324324325,0.956120092378753,444.0
accuracy,0.955785512699906,0.955785512699906,0.955785512699906,0.955785512699906
macro avg,0.9522062750245903,0.9493058219726376,0.9503475452347506,2126.0
weighted avg,0.9564458528360013,0.955785512699906,0.9557664477761899,2126.0
