,precision,recall,f1-score,support
AFIB,0.9004237288135594,0.9572072072072072,0.9279475982532751,444.0
GSVT,0.9410430839002267,0.9021739130434783,0.9211986681465039,460.0
SB,0.9784810126582278,0.993573264781491,0.9859693877551021,778.0
SR,0.9787234042553191,0.9324324324324325,0.9550173010380624,444.0
accuracy,0.9534336782690499,0.9534336782690499,0.9534336782690499,0.9534336782690499
macro avg,0.9496678074068332,0.9463467043661522,0.9475332387982358,2126.0
weighted avg,0.9541295265873884,0.9534336782690499,0.953373464866517,2126.0
