,precision,recall,f1-score,support
AFIB,0.9019189765458422,0.9527027027027027,0.9266155531215773,444.0
GSVT,0.9390519187358917,0.9043478260869565,0.921373200442968,460.0
SB,0.9784537389100126,0.9922879177377892,0.9853222718570518,778.0
SR,0.9741176470588235,0.9324324324324325,0.952819332566168,444.0
accuracy,0.9524929444967074,0.9524929444967074,0.9524929444967074,0.9524929444967074
macro avg,0.9483855703126425,0.9454427197399702,0.9465325894969414,2126.0
weighted avg,0.9530391121218117,0.9524929444967074,0.9524372008249813,2126.0
