,precision,recall,f1-score,support
AFIB,0.8385650224215246,0.8423423423423423,0.840449438202247,444.0
GSVT,0.7925311203319502,0.8304347826086956,0.81104033970276,460.0
SB,0.9846938775510204,0.9922879177377892,0.9884763124199744,778.0
SR,0.9830917874396136,0.9166666666666666,0.9487179487179487,444.0
accuracy,0.9101599247412983,0.9101599247412983,0.9101599247412983,0.9101599247412983
macro avg,0.8997204519360271,0.8954329273388734,0.8971710097607326,2126.0
weighted avg,0.9122632999368468,0.9101599247412983,0.9108670964809862,2126.0
