,precision,recall,f1-score,support
AFIB,0.9088937093275488,0.9436936936936937,0.9259668508287293,444.0
GSVT,0.9213973799126638,0.9173913043478261,0.9193899782135077,460.0
SB,0.9785082174462706,0.9948586118251928,0.9866156787762905,778.0
SR,0.9879807692307693,0.9256756756756757,0.9558139534883721,444.0
accuracy,0.9529633113828786,0.9529633113828786,0.9529633113828786,0.9529633113828786
macro avg,0.949195018979313,0.945404821385597,0.9469466153267247,2126.0
weighted avg,0.9535909954905536,0.9529633113828786,0.9529713382798497,2126.0
