,precision,recall,f1-score,support
AFIB,0.9038461538461539,0.9527027027027027,0.9276315789473685,444.0
GSVT,0.915929203539823,0.9,0.9078947368421053,460.0
SB,0.982028241335045,0.9832904884318766,0.9826589595375724,778.0
SR,0.9648711943793911,0.9279279279279279,0.9460390355912743,444.0
accuracy,0.9473189087488241,0.9473189087488241,0.9473189087488241,0.9473189087488241
macro avg,0.9416686982751032,0.9409802797656268,0.9410560777295801,2126.0
weighted avg,0.9478155729064561,0.9473189087488241,0.9473424281856807,2126.0
