,precision,recall,f1-score,support
AFIB,0.8902691511387164,0.9684684684684685,0.9277238403451996,444.0
GSVT,0.9450800915331807,0.8978260869565218,0.9208472686733556,460.0
SB,0.9736842105263158,0.9987146529562982,0.9860406091370559,778.0
SR,0.9901960784313726,0.9099099099099099,0.9483568075117371,444.0
accuracy,0.9520225776105362,0.9520225776105362,0.9520225776105362,0.9520225776105362
macro avg,0.9498073829073964,0.9437297795727997,0.945742131416837,2126.0
weighted avg,0.9535229161918422,0.9520225776105362,0.9518857691189336,2126.0
