,precision,recall,f1-score,support
AFIB,0.9100642398286938,0.9572072072072072,0.9330406147091109,444.0
GSVT,0.9379157427937915,0.9195652173913044,0.9286498353457738,460.0
SB,0.9821882951653944,0.9922879177377892,0.9872122762148338,778.0
SR,0.9786729857819905,0.9301801801801802,0.953810623556582,444.0
accuracy,0.9562558795860772,0.9562558795860772,0.9562558795860772,0.9562558795860772
macro avg,0.9522103158924675,0.9498101306291202,0.950678337456575,2126.0
weighted avg,0.9568123534783466,0.9562558795860772,0.9562521283838966,2126.0
