,precision,recall,f1-score,support
AFIB,0.8951781970649895,0.9617117117117117,0.9272529858849076,444.0
GSVT,0.9389140271493213,0.9021739130434783,0.9201773835920177,460.0
SB,0.9772727272727273,0.9948586118251928,0.9859872611464968,778.0
SR,0.9855421686746988,0.9211711711711712,0.9522700814901048,444.0
accuracy,0.9524929444967074,0.9524929444967074,0.9524929444967074,0.9524929444967074
macro avg,0.9492267800404341,0.9449788519378884,0.9464219280283817,2126.0
weighted avg,0.9535552571473618,0.9524929444967074,0.952440229322111,2126.0
