Group,SVM,,,KNN,,,LogisticRegression,,,RandomForest,,,AdaBoost,,,Decision Tree,,,XGBoost,,
Metric,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
AFIB,0.906,0.959,0.932,0.909,0.944,0.926,0.9,0.957,0.928,0.904,0.959,0.931,0.89,0.968,0.928,0.465,0.435,0.449,0.91,0.957,0.933
GSVT,0.942,0.913,0.927,0.921,0.917,0.919,0.941,0.902,0.921,0.944,0.911,0.927,0.945,0.898,0.921,0.549,0.496,0.521,0.938,0.92,0.929
SB,0.98,0.992,0.986,0.979,0.995,0.987,0.978,0.994,0.986,0.979,0.995,0.987,0.974,0.999,0.986,0.797,0.81,0.804,0.982,0.992,0.987
SR,0.981,0.932,0.956,0.988,0.926,0.956,0.979,0.932,0.955,0.983,0.93,0.956,0.99,0.91,0.948,0.512,0.583,0.545,0.979,0.93,0.954
macro avg,0.952,0.949,0.95,0.949,0.945,0.947,0.95,0.946,0.948,0.952,0.949,0.95,0.95,0.944,0.946,0.581,0.581,0.58,0.952,0.95,0.951
weighted avg,0.956,0.956,0.956,0.954,0.953,0.953,0.954,0.953,0.953,0.957,0.956,0.956,0.954,0.952,0.952,0.615,0.616,0.615,0.957,0.956,0.956
